"","i.output","year","bristol.extramort.output$i.output"
"1","221 (217, 226)","no.fox.families","220 (216, 225)"
"2","988 (929, 1028)","no.cub.foxes","980 (909, 1040)"
"3","210 (203, 218)","no.breeding.females","210 (203, 219)"
"4","150 (131, 175)","no.suboordinate.females","136 (114, 157)"
"5","210 (202, 219)","no.alpha.males","209 (200, 217)"
"6","46 (37, 59)","no.suboordinate.males","37 (23, 51)"
"7","136 (85, 169)","no.disperser.females","110 (75, 140)"
"8","240 (208, 279)","no.disperser.males","165 (137, 201)"
"9","1979 (1895, 2084)","no.foxes","1848 (1751, 1946)"
