"familysize (for Pr0.2, 100ha)",1,2,3,4,5
1,22,28,19,10,13
2,17,14,24,16,19
3,28,22,20,14,12
4,19,19,16,14,13
5,22,14,17,15,10
6,14,16,21,15,16
7,28,14,14,12,11
8,22,22,15,9,16
9,19,24,13,16,11
10,24,10,12,17,11
11,30,17,11,16,14
12,19,18,20,17,14
13,23,21,14,10,14
14,21,15,12,15,15
15,18,23,20,14,16
16,14,22,14,15,12
17,19,20,13,10,25
18,23,17,18,16,12
19,24,13,20,15,17
20,22,10,11,16,12
21,21,12,14,12,12
22,21,16,20,14,16
23,14,15,11,13,18
24,14,15,18,18,23
25,21,13,14,13,12
26,22,19,13,18,19
27,18,19,19,21,12
28,18,18,13,11,11
29,25,17,14,14,16
30,21,20,15,17,9
